sample_id,laser_power_W,scan_speed_mm_s,layer_thickness_um,hatch_spacing_um,energy_density_J_mm3,density,quality_label
0,288.35,863.33,55.76,104.87,57.1214,0.9998,0
1,197.94,870.23,41.12,116.34,47.5415,0.999,0
2,257.64,638.29,54.83,101.58,72.4714,0.9967,0
3,288.97,716.78,44.0,72.19,126.9181,0.9798,1
4,225.62,822.28,44.09,79.47,78.3108,0.9973,0
5,241.2,1099.61,51.01,85.62,50.227,0.9655,1
6,275.55,683.85,36.0,70.37,159.0715,0.9983,0
7,244.25,941.24,34.19,75.73,100.2149,0.9973,0
8,268.86,932.15,46.78,85.2,72.3753,0.9971,0
9,299.48,740.36,31.75,84.07,151.5477,0.9723,1
10,273.0,843.83,54.42,78.35,75.8784,0.9954,0
11,202.58,900.63,34.57,104.82,62.0767,0.9969,0
12,230.65,652.59,33.54,118.09,89.2326,0.9606,1
13,289.03,1030.13,43.48,83.61,77.1747,0.9994,0
14,222.83,947.53,35.3,112.83,59.04,0.9985,0
15,261.77,989.91,32.53,90.79,89.5288,0.9974,0
16,194.48,952.59,35.12,116.26,50.0057,0.9967,0
17,314.2,889.38,53.48,74.14,89.0995,0.9974,0
18,246.29,760.19,39.95,96.03,84.4533,0.9951,0
19,199.63,932.42,33.26,103.61,62.1337,0.9982,0
20,195.08,1149.61,36.91,71.87,63.9762,0.9968,0
21,224.4,1171.74,38.73,95.75,51.6439,0.9996,0
22,240.91,1195.43,56.75,107.43,33.0555,0.9708,1
23,288.08,997.0,41.21,74.72,93.8352,0.9963,0
24,197.19,1098.67,34.6,78.96,65.6941,0.9993,0
25,288.84,1183.1,45.02,77.19,70.2452,0.9961,0
26,197.06,903.8,50.83,99.06,43.3049,0.9989,0
27,198.35,674.25,57.83,89.88,56.6002,0.9974,0
28,220.1,1154.89,30.75,97.76,63.4074,0.9955,0
29,315.27,957.63,57.99,110.22,51.5085,0.9988,0
30,296.12,1078.09,36.98,96.54,76.9404,0.9993,0
31,232.39,855.53,49.56,113.37,48.3444,0.9962,0
32,294.32,663.17,32.0,99.72,139.0915,0.9624,1
33,308.94,699.32,38.54,77.68,147.5538,0.9522,1
34,187.47,954.69,50.42,89.68,43.4271,0.9975,0
35,186.09,708.9,37.1,82.47,85.7899,0.997,0
36,253.33,661.0,55.0,72.6,95.9749,0.9837,1
37,317.14,1081.22,53.38,102.12,53.8017,0.9957,0
38,300.06,877.68,41.55,101.98,80.68,0.9957,0
39,212.56,820.51,40.99,86.37,73.167,0.9984,0
40,308.29,888.55,39.85,96.77,89.9687,0.9822,1
41,268.61,772.89,52.05,80.12,83.342,0.9992,0
42,193.31,1035.43,32.53,116.8,49.1317,0.9997,0
43,289.57,1077.07,58.38,82.67,55.7048,0.9955,0
44,259.09,943.46,43.98,96.13,64.9555,0.9989,0
45,310.37,671.84,33.51,74.39,185.3171,0.981,1
46,226.71,1139.02,52.88,83.53,45.0665,0.9965,0
