sample_id,laser_power_W,scan_speed_mm_s,layer_thickness_um,hatch_spacing_um,energy_density_J_mm3,density,quality_label,power_density,line_energy_J_mm,log_energy_density,laser_power_W_z,scan_speed_mm_s_z,layer_thickness_um_z,hatch_spacing_um_z,energy_density_J_mm3_z,power_density_z,line_energy_J_mm_z,log_energy_density_z
0,288.35,863.33,55.76,104.87,57.1214,0.9998,0,3184.871064761135,0.3339974285615002,4.062533926505568,0.9125315400897459,-0.24734924951263781,1.2402836966322712,0.6361482638999568,-0.5919771556643065,0.11854175481305096,0.6117702841164754,-0.48991491257743813
1,180.96,1112.97,51.11,87.77,36.2442,0.913,2,1852.4778809549746,0.1625919836114181,3.617496228004347,-1.682862597839825,1.1830434917257504,0.7061119144441074,-0.5270958306821477,-1.5387653578406377,-1.3313159218547361,-1.640115638908156,-1.9036685208812043
2,299.08,1179.07,47.85,80.61,65.7694,0.9981,0,3146.7255136743483,0.2536575436572892,4.201244891757813,1.171853442501369,1.5617847198777186,0.33161728865197543,-1.0141617790568764,-0.19978738057852324,0.07703327162199086,-0.4437169317412213,-0.04927105634438838
3,194.51,766.16,53.32,86.16,55.257,0.9982,0,2946.570042801206,0.2538764748877519,4.029930477786406,-1.3553871292771502,-0.8041160443617578,0.9599871055485898,-0.6366176430960183,-0.6765283370553722,-0.14076801218786356,-0.4408406628097824,-0.5934864603925855
4,249.53,635.93,55.07,81.36,87.5732,0.9529,1,4822.836214711733,0.39238595442894664,4.483829328783827,-0.025667551393874406,-1.5503107515059467,1.161019496694673,-0.9631423012243281,0.7890224503668279,1.900910784941376,1.3788655155739937,0.8484164178661106
5,212.24,698.78,46.01,105.98,62.2914,0.999,0,2865.912029431329,0.3037293568791322,4.147749458940729,-0.9268897080508598,-1.1901914445566086,0.12024608881837898,0.7116570910921285,-0.3575158770804144,-0.22853687898364453,0.214115212199273,-0.21921028043175406
6,231.31,955.14,44.91,106.84,50.47,0.9989,0,2266.697137285086,0.24217392214753858,3.940999113664663,-0.466007258937191,0.27870569990691174,-0.006117128473444928,0.7701594256734506,-0.8936204338795678,-0.8805788752284122,-0.5945861508064697,-0.8759951946906199
7,316.04,830.76,52.29,106.8,68.1274,0.9962,0,3562.0107250740853,0.3804227454379123,4.235951178950453,1.5817415566580464,-0.4339695490725416,0.8416651839026092,0.7674383868557143,-0.09285126937913925,0.5289302484847221,1.2216955847765358,0.06098058956035962
8,240.18,706.6,55.62,80.08,76.3089,0.9993,0,4244.623194524129,0.3399094254174922,4.347809084800166,-0.2516377086677497,-1.1453842372321243,1.2242011053405846,-1.0502155433918774,0.27818257022126947,1.271722196874998,0.6894407601089466,0.4163201901041118
9,244.47,1119.04,50.03,99.29,43.9775,0.9962,0,2200.26226816632,0.21846404060623392,3.8061623647286376,-0.14795728356561882,1.2178235107103559,0.5820462101939534,0.2565633488257967,-1.1880575424300357,-0.9528706777991127,-0.9060812056747364,-1.3043318074814845
10,227.79,900.15,32.58,77.32,100.4625,0.9959,0,3272.8637311956886,0.2530578236960507,4.619689272087294,-0.5510783769697091,-0.036377206841602054,-1.4225339186627055,-1.2379672218156559,1.3735566395450411,0.2142919015949227,-0.45159591679250266,1.2800034176103463
11,209.95,732.81,32.36,101.14,87.5536,0.9962,0,2832.7062616208927,0.2864999113003371,4.483608018399627,-0.9822342706345154,-0.9952056050102928,-1.44780656212107,0.38241139414608244,0.7881335836240342,-0.26467008497324596,-0.012241342411386972,0.8477133799992704
12,272.96,981.37,45.62,98.31,62.0167,0.9717,1,2829.231831830377,0.2781417813872443,4.143399770629284,0.5405870780100718,0.42899892856691396,0.07544458450582323,0.18989789779126648,-0.36997361658273464,-0.2684508223449522,-0.12204856061023717,-0.23302795827345432
13,290.22,609.38,53.09,97.46,92.0311,0.9957,0,4886.666876757535,0.4762545538087893,4.532933845853313,0.9577255715445211,-1.702437523176669,0.9335657055693907,0.1320758229143777,0.99118974897401,1.9703687921562765,2.4807121831770083,1.0044069966975098
14,211.86,691.95,53.6,74.34,76.8371,0.9993,0,4118.619747994359,0.3061781920659007,4.354618181274173,-0.9360735219293702,-1.2293261281916756,0.9921522881319632,-1.440684613736981,0.3021366219326843,1.1346102193760474,0.2462874543733608,0.4379506828507606
15,201.45,981.03,30.74,77.97,85.6603,0.9974,0,2633.646303466408,0.2053454022812758,4.461995878110526,-1.1876616863380385,0.4270507891180232,-1.6339051184963016,-1.193750341027447,0.7022717772907882,-0.4812792750795769,-1.0784309054280201,0.779057979749396
