job_id,time_step,melt_pool_temp_C,oxygen_ppm
0,0,1485.4,491.11
0,1,1500.05,503.94
0,2,1509.26,493.91
0,3,1477.51,505.04
0,4,1512.81,486.82
0,5,1488.29,495.27
0,6,1510.99,485.17
0,7,1480.59,501.17
0,8,1520.32,495.68
0,9,1502.9,494.08
0,10,1511.22,494.05
0,11,1501.83,505.49
0,12,1523.8,491.11
0,13,1494.85,507.43
0,14,1501.49,500.71
0,15,1524.02,486.35
0,16,1469.74,503.7
0,17,1493.08,490.82
0,18,1508.84,490.46
0,19,1512.14,495.62
0,20,1506.1,504.81
0,21,1474.39,489.54
0,22,1527.09,499.77
0,23,1481.95,519.35
0,24,1496.95,508.12
0,25,1497.15,503.67
0,26,1490.41,512.4
0,27,1502.17,498.08
0,28,1503.88,494.03
0,29,1492.32,513.51
0,30,1469.75,492.99
0,31,1515.52,502.76
0,32,1481.44,481.24
0,33,1492.6,481.73
0,34,1521.85,495.09
0,35,1485.49,502.59
0,36,1509.5,505.85
0,37,1491.53,508.75
0,38,1516.88,495.3
0,39,1487.86,504.06
0,40,1534.69,491.75
0,41,1486.88,505.49
0,42,1495.1,493.53
0,43,1481.6,507.39
0,44,1500.45,492.48
0,45,2075.57,495.08
0,46,2064.63,515.1
0,47,2089.19,509.32
0,48,2103.06,500.06
0,49,2089.02,500.28
0,50,1470.26,502.34
0,51,1487.76,503.14
0,52,1516.41,489.43
0,53,1498.51,519.86
0,54,1539.75,532.4
0,55,1485.16,508.7
0,56,1472.18,492.68
0,57,1493.58,517.69
0,58,1501.5,490.77
0,59,1501.84,497.22
0,60,1523.1,502.08
0,61,1491.79,511.52
0,62,1487.61,505.71
0,63,1469.32,510.5
0,64,1520.31,505.66
0,65,1528.7,503.06
0,66,1483.88,496.61
0,67,1513.7,495.88
0,68,1474.98,501.67
0,69,1487.77,500.91
0,70,1491.26,500.46
0,71,1469.11,498.95
0,72,1500.68,503.94
0,73,1516.52,505.46
0,74,1492.09,510.93
0,75,1500.04,496.46
0,76,1488.26,495.35
0,77,1501.8,503.66
0,78,1508.23,496.7
0,79,1474.45,499.95
0,80,1484.2,502.81
0,81,1481.83,492.52
0,82,1479.5,504.01
0,83,1514.37,486.07
0,84,1510.99,502.16
0,85,1520.79,506.81
0,86,1517.92,505.21
0,87,1517.71,503.33
0,88,1480.13,492.79
0,89,1509.27,511.49
0,90,1515.08,505.36
0,91,1499.87,506.35
0,92,1477.48,509.33
0,93,1473.34,522.15
0,94,1484.35,496.49
0,95,1529.19,503.91
0,96,1497.38,505.87
0,97,1484.61,486.66
0,98,1496.31,503.23
0,99,1497.82,504.89
1,0,1499.73,496.32
1,1,1508.19,492.27
1,2,1484.79,506.13
1,3,1478.36,493.52
1,4,1507.5,494.4
1,5,1510.86,513.08
1,6,1476.96,490.2
1,7,1489.19,500.47
1,8,1483.91,505.61
1,9,1489.5,497.43
1,10,1522.95,514.21
1,11,1510.34,493.87
1,12,1520.2,494.85
1,13,1495.96,497.03
1,14,1498.61,497.28
1,15,1479.49,510.24
1,16,1492.53,499.21
1,17,1501.36,484.36
1,18,1494.79,491.25
1,19,1483.35,489.7
1,20,1518.16,502.17
1,21,1498.5,491.43
1,22,1481.23,491.84
1,23,1473.89,500.7
1,24,1510.2,497.23
1,25,1497.95,505.57
1,26,1518.3,495.92
1,27,1525.4,509.67
1,28,1507.68,500.78
1,29,1499.17,488.07
1,30,1492.32,494.47
1,31,1469.48,500.09
1,32,1488.47,507.94
1,33,1505.57,501.26
1,34,1499.0,510.84
1,35,1509.98,503.56
1,36,1489.25,493.06
1,37,1503.37,496.24
1,38,1497.1,502.0
1,39,1521.26,506.47
1,40,1488.26,504.39
1,41,1496.05,493.83
1,42,1486.44,481.55
1,43,1499.12,492.79
1,44,1478.21,498.48
1,45,1486.87,499.04
1,46,1492.95,494.41
1,47,1489.88,496.42
1,48,1507.16,498.11
1,49,1490.55,494.64
1,50,1505.23,494.32
1,51,1484.03,499.98
1,52,1490.52,504.57
1,53,1500.39,503.61
1,54,1475.18,507.08
1,55,1496.76,494.91
1,56,1504.54,500.53
1,57,1466.64,499.19
1,58,1494.05,504.1
1,59,1496.65,507.94
1,60,1509.49,494.66
1,61,1495.94,498.91
1,62,1512.85,498.75
1,63,1482.24,504.03
1,64,1507.17,506.88
1,65,1497.83,503.97
1,66,1489.39,495.3
1,67,1490.13,509.63
1,68,1490.82,514.31
1,69,1519.57,499.61
1,70,1506.75,498.58
1,71,1486.66,485.7
1,72,1491.7,497.49
1,73,1525.78,495.41
1,74,1532.19,502.39
1,75,1489.65,485.91
1,76,1491.88,507.36
1,77,1508.95,514.06
1,78,1524.93,496.6
1,79,1523.81,513.0
1,80,1478.46,493.18
1,81,1496.13,513.82
1,82,1494.08,503.45
1,83,1517.66,501.26
1,84,1523.33,477.43
1,85,1499.92,506.26
1,86,1514.61,499.38
1,87,1499.19,490.18
1,88,1472.12,503.42
1,89,1494.43,509.82
1,90,1517.47,480.51
1,91,1506.19,516.76
1,92,1490.1,506.06
1,93,1476.55,499.0
1,94,1513.53,500.35
1,95,1511.89,489.85
1,96,1491.12,499.73
1,97,1493.51,505.8
1,98,1507.25,491.93
1,99,1500.59,515.6
2,0,1493.38,495.82
2,1,1513.15,489.83
2,2,1482.58,492.85
2,3,1494.42,516.69
2,4,1498.07,500.42
2,5,1492.12,505.1
2,6,1514.3,490.83
2,7,1502.36,498.51
2,8,1512.96,513.86
2,9,1496.8,505.84
2,10,1525.49,499.32
2,11,1517.63,497.27
2,12,1515.35,501.15
2,13,1479.31,496.76
2,14,1485.37,496.65
2,15,1509.24,513.96
2,16,1525.46,499.31
2,17,1511.69,494.64
2,18,1520.05,505.14
2,19,1519.44,509.06
2,20,1505.17,489.03
2,21,1480.22,484.29
2,22,1506.47,510.77
2,23,1526.41,504.67
2,24,1509.2,493.84
2,25,1502.85,491.42
2,26,1464.1,506.44
2,27,1500.58,494.11
2,28,1487.26,495.87
2,29,1497.83,502.55
2,30,1494.72,518.8
2,31,1480.0,507.04
2,32,1506.25,497.88
2,33,1497.64,503.92
2,34,1513.02,495.74
2,35,1511.06,509.94
2,36,1501.14,497.01
2,37,1492.44,492.46
2,38,1500.75,497.82
2,39,1484.79,493.91
2,40,1492.22,502.75
2,41,1510.32,504.79
2,42,1504.02,497.1
2,43,1503.44,509.88
2,44,1498.88,506.37
2,45,1500.45,489.58
2,46,1491.31,509.89
2,47,1487.47,508.75
2,48,1506.81,499.05
2,49,1507.57,495.53
2,50,1491.59,498.09
2,51,1496.18,496.34
2,52,1480.41,501.51
2,53,1471.98,501.53
2,54,1493.45,503.16
2,55,1490.09,503.83
2,56,1501.38,512.6
2,57,1476.34,485.81
2,58,1498.37,511.9
2,59,1509.99,509.32
2,60,1513.74,497.12
2,61,1498.71,497.63
2,62,1491.32,512.36
2,63,1487.38,500.18
2,64,1485.43,502.05
2,65,1484.72,492.73
2,66,1518.18,504.84
2,67,1499.94,499.96
2,68,1475.96,507.81
2,69,1515.48,488.05
2,70,1473.3,489.53
2,71,1488.63,489.79
2,72,1496.73,494.98
2,73,1526.54,504.32
2,74,1503.41,504.36
2,75,1502.78,501.01
2,76,1490.72,493.91
2,77,1506.21,498.31
2,78,1506.08,503.3
2,79,1489.02,505.47
2,80,1508.66,492.86
2,81,1485.73,504.95
2,82,1528.45,496.31
2,83,1508.21,513.87
2,84,1477.76,491.04
2,85,1539.92,515.57
2,86,1514.68,512.61
2,87,1489.09,516.27
2,88,1503.95,496.99
2,89,1499.65,504.76
2,90,1512.36,496.16
2,91,1509.33,497.03
2,92,1487.22,483.13
2,93,1515.41,503.23
2,94,1505.8,500.54
2,95,1516.93,503.76
2,96,1500.44,495.52
2,97,1489.03,498.85
2,98,1508.58,487.09
2,99,1535.63,491.41
3,0,1462.6,494.8
3,1,1476.11,492.77
3,2,1454.44,484.46
3,3,1513.98,501.7
3,4,1512.02,504.81
3,5,1503.31,508.22
3,6,1504.51,480.07
3,7,1515.04,499.36
3,8,1493.25,490.71
3,9,1464.97,509.43
3,10,1518.13,516.48
3,11,1523.01,500.83
3,12,1500.2,508.11
3,13,1504.14,501.79
3,14,1503.6,510.68
3,15,1502.17,507.04
3,16,1497.13,489.19
3,17,1498.71,504.21
3,18,1502.53,498.82
3,19,1507.62,510.77
3,20,1491.72,506.54
3,21,1530.31,511.8
3,22,1482.45,493.6
3,23,1487.9,492.1
3,24,1475.35,493.65
3,25,1520.75,504.16
3,26,1501.22,507.66
3,27,1476.6,513.14
3,28,1472.66,495.0
3,29,1466.58,485.58
3,30,1501.96,504.45
3,31,1494.32,487.45
3,32,1513.6,506.3
3,33,1485.03,502.96
3,34,1509.81,497.23
3,35,1494.16,505.9
3,36,1474.71,504.41
3,37,1494.83,495.85
3,38,1475.19,495.57
3,39,1493.93,490.41
3,40,1492.28,501.55
3,41,1485.07,503.71
3,42,1490.58,507.51
3,43,1503.1,508.96
3,44,1488.57,493.58
3,45,883.8,507.65
3,46,908.43,507.53
3,47,892.73,488.19
3,48,902.15,504.19
3,49,903.65,514.4
3,50,1509.48,491.39
3,51,1501.68,502.33
3,52,1497.71,491.17
3,53,1495.37,493.85
3,54,1515.85,497.46
3,55,1470.81,496.96
3,56,1478.42,497.42
3,57,1506.07,489.6
3,58,1512.83,497.07
3,59,1511.63,484.74
3,60,1497.36,508.74
3,61,1497.78,491.0
3,62,1489.72,507.0
3,63,1518.22,494.48
3,64,1504.4,508.31
3,65,1468.0,492.9
3,66,1495.2,512.2
3,67,1543.12,507.88
3,68,1479.17,493.63
3,69,1507.13,512.72
3,70,1492.34,505.0
3,71,1511.04,514.17
3,72,1499.77,506.49
3,73,1505.28,511.13
3,74,1505.26,500.07
3,75,1490.16,500.29
3,76,1483.2,486.72
3,77,1502.54,501.13
3,78,1467.47,503.9
3,79,1519.9,503.41
3,80,1507.28,497.84
3,81,1518.1,499.0
3,82,1510.03,494.99
3,83,1518.67,501.85
3,84,1502.48,493.11
3,85,1493.49,484.9
3,86,1487.85,486.7
3,87,1505.75,509.88
3,88,1532.6,502.73
3,89,1462.94,511.47
3,90,1538.06,496.82
3,91,1471.64,491.4
3,92,1515.78,509.91
3,93,1515.27,506.14
3,94,1501.67,506.18
